Index of Difficulty,Size (px),Distance (px)
47.900170999986585,1275,873
47.90086449997034,1275,874
47.90221989998827,1275,875
47.903179300017655,1275,877
47.90386530000251,1275,878
47.90515830001095,1274,879
47.906152200012,1274,881
47.90787019999698,1274,883
47.90916749997996,1274,885
47.91115070000524,1274,887
47.9128513999749,1274,889
47.91418269998394,1273,891
47.916179199994076,1273,893
47.91716010001255,1273,894
47.91786260000663,1273,896
47.9188760999823,1273,898
47.92019019997679,1272,899
47.921149600006174,1272,900
47.921869900019374,1272,902
47.924190199992154,1272,904
47.925864699995145,1271,906
47.92722060001688,1271,907
47.92824739997741,1271,908
47.92915300000459,1271,910
47.93018630001461,1271,911
47.93116480001481,1271,912
47.93215120001696,1271,914
47.93413970002439,1270,916
47.93522280000616,1270,917
47.9361955000204,1270,918
47.93686409998918,1270,919
47.93816889997106,1269,921
47.94029830000363,1269,923
47.94218539999565,1268,925
47.943187099997886,1268,926
47.94513429998187,1268,927
47.946179800026584,1268,929
47.94818509998731,1268,930
47.95017750002444,1268,932
47.95086570002604,1268,933
47.95188970002346,1268,934
47.95324190001702,1268,935
47.954186099988874,1267,935
47.955323299975134,1267,937
47.955876199994236,1267,938
47.95816580002429,1267,939
47.959496399969794,1267,940
47.96088019997114,1266,941
47.9618670999771,1266,942
47.96319709997624,1266,943
47.9652647000039,1266,944
47.96618899999885,1266,945
47.967162400018424,1266,946
47.96817050001118,1265,947
47.96928670001216,1265,948
47.97088649997022,1265,949
47.971867299987935,1265,950
47.97417000000132,1265,951
47.975197300023865,1265,952
47.975862200022675,1265,954
47.977220300002955,1265,955
47.978220299992245,1265,956
47.9792010000092,1264,958
47.98020629998064,1264,959
47.98118890001206,1264,960
47.98212749999948,1264,962
47.98286799999187,1264,963
47.98423330002697,1263,964
47.98523920000298,1263,965
47.98615349997999,1263,966
47.98722040001303,1263,967
47.988211299991235,1263,969
47.99016659997869,1263,970
47.991201900003944,1263,972
47.992268899979535,1262,973
47.992887899978086,1262,974
47.993891199992504,1262,976
47.99587959999917,1262,978
47.996865099994466,1262,979
47.99823660001857,1262,980
47.99888039997313,1262,982
47.99986799998442,1262,983
48.0008700999897,1262,984
48.00226580002345,1262,985
48.00320610002382,1262,987
48.00387229997432,1261,989
48.00623619998805,1261,991
48.00720150000416,1261,993
48.00816119997762,1261,994
48.0091645999928,1261,996
48.00987559999339,1260,996
48.01087330002338,1260,997
48.01220519997878,1260,999
48.013192099984735,1260,1000
48.014166600012686,1260,1002
48.015133299981244,1260,1003
48.01623670000117,1260,1004
48.01719869999215,1259,1005
48.018144999979995,1259,1006
48.01918439997826,1259,1008
48.02019150002161,1259,1009
48.02219529997092,1259,1010
48.02314970002044,1259,1011
48.025186999992,1259,1012
48.02619120001327,1259,1014
48.02816190000158,1259,1015
48.029146199987736,1259,1016
48.03018780000275,1259,1017
48.032180099980906,1259,1018
48.033176099997945,1259,1019
48.03527729999041,1259,1020
48.0372002000222,1259,1021
48.0381597999949,1259,1022
48.042196800000966,1259,1023
48.04318640002748,1259,1024
48.047189500008244,1259,1025
48.04814760002773,1259,1026
48.05288069997914,1259,1027
48.05527050001547,1259,1028
48.056204799970146,1259,1029
48.059209499973804,1259,1030
48.05985750001855,1259,1031
48.063180800003465,1259,1032
48.06416020001052,1259,1033
48.064865300024394,1259,1034
48.06817709997995,1259,1035
48.06926259997999,1259,1036
48.07122189999791,1259,1037
48.07187019998673,1259,1038
48.07322219997877,1259,1039
48.07490459998371,1259,1040
48.07655729999533,1259,1042
48.07857349998085,1259,1043
48.0789937999798,1259,1044
48.081749100005254,1259,1045
48.084015399974305,1259,1047
48.08593950001523,1259,1049
48.0883050999837,1259,1050
48.089902799983975,1259,1051
48.090928499994334,1259,1052
48.09327710000798,1259,1053
48.094282799982466,1259,1054
48.09623929997906,1259,1055
48.0973273999989,1259,1056
48.098324200022034,1259,1057
48.09987729997374,1259,1058
48.10118280001916,1259,1059
48.10295660002157,1259,1060
48.10423830000218,1259,1061
48.10521930002142,1259,1062
48.108874100027606,1259,1063
48.112206000019796,1259,1064
48.113881499972194,1259,1065
48.11520619998919,1259,1066
48.116164100007154,1259,1067
48.118185099971015,1259,1068
48.11923960002605,1259,1069
48.12288969999645,1259,1070
48.12447919999249,1259,1071
48.12492380000185,1259,1072
48.127877600025386,1259,1073
48.1311934000114,1259,1074
48.13521849998506,1259,1075
48.135890699981246,1259,1076
48.13719400000991,1259,1077
48.14020480000181,1259,1078
48.14321010001004,1259,1079
48.15094830002636,1259,1080
48.15289979998488,1259,1081
48.15622349997284,1259,1082
48.15689049998764,1259,1083
48.160384899994824,1259,1084
48.1641955000232,1259,1085
48.168203599983826,1259,1086
48.16922059998615,1259,1087
48.17316349997418,1259,1088
48.17615579999983,1259,1089
48.17787409998709,1259,1090
48.179150699987076,1259,1091
48.18187749997014,1259,1092
48.188856500026304,1259,1093
48.19015510001918,1259,1094
48.19219279999379,1259,1096
48.19286529999226,1259,1097
48.196862899989355,1259,1098
48.20015709998552,1259,1099
48.20219129999168,1259,1100
48.20320089999586,1259,1101
48.20415599999251,1259,1102
48.2061759000062,1259,1103
48.207183699996676,1259,1104
48.211159500002395,1259,1105
48.21218949998729,1259,1106
48.213171700015664,1259,1107
48.217159099993296,1259,1109
48.21816170000238,1259,1110
48.220162599987816,1259,1112
48.22187439998379,1259,1113
48.22322869999334,1259,1114
48.22616030002246,1259,1115
48.22785780002596,1259,1116
48.23017019999679,1259,1117
48.23217159998603,1259,1118
48.233186100027524,1259,1119
48.23418369999854,1259,1120
48.23718789999839,1259,1121
48.23819830000866,1259,1122
48.24187610001536,1259,1123
48.2431853999733,1259,1124
48.24415919999592,1259,1125
48.25086540001212,1259,1126
48.25720819999697,1259,1127
48.2722171000205,1259,1128
48.28730570001062,1259,1129
48.29316220001783,1259,1130
48.302879100025166,1259,1131
48.306880499992985,1259,1132
Index of Difficulty,Size (px),Distance (px)
4.446256229889564,30,327
Timestamp (s),Position X (px),Position Y (px)
48.653456299973186,1280,800
48.79888509999728,1280,799
48.801878799975384,1280,798
48.803216899978,1280,797
48.803870200004894,1280,796
48.80587560002459,1280,795
48.80686479998985,1280,794
48.8081952999928,1280,793
48.8092728999909,1280,792
48.81019240000751,1280,791
48.812164600007236,1280,790
48.81319949997123,1280,789
48.814159800007474,1280,788
48.81518909998704,1280,787
48.81618059996981,1280,786
48.81787119997898,1280,785
48.81893389998004,1280,784
48.82026240002597,1280,783
48.82086480001453,1280,782
48.82187189999968,1280,781
48.82314860000042,1280,780
48.825183400011156,1280,778
48.827196099970024,1280,776
48.82818670000415,1280,775
48.82920929999091,1280,774
48.83017370000016,1280,773
48.83114349999232,1280,772
48.83186510001542,1280,770
48.83314499998232,1280,769
48.83413859998109,1280,768
48.83514969999669,1280,766
48.83588899997994,1280,764
48.83818409999367,1280,762
48.839263600006234,1281,761
48.83987550000893,1281,757
48.84086679999018,1281,755
48.842187799979,1282,754
48.843152999994345,1282,753
48.84416199999396,1282,751
48.844868700020015,1282,750
48.846192999975756,1283,748
48.847167400002945,1283,746
48.84818779997295,1283,745
48.848854499985464,1283,743
48.850180400011595,1283,741
48.851143200008664,1283,739
48.85222729999805,1283,737
48.85286739998264,1283,736
48.85420429997612,1283,734
48.85517729999265,1283,732
48.85616560000926,1283,730
48.85687469999539,1283,727
48.858186699973885,1284,725
48.859189499984495,1284,724
48.86016139999265,1284,721
48.86117250000825,1284,719
48.861855200026184,1284,718
48.86318869999377,1284,714
48.86386639997363,1285,712
48.86616909998702,1285,709
48.867147999990266,1285,706
48.86815629998455,1285,705
48.86933999997564,1285,703
48.869896200019866,1285,700
48.87117830000352,1285,698
48.87221459997818,1285,697
48.87325439997949,1285,695
48.87386659998447,1286,691
48.87517590000061,1286,690
48.87586899998132,1286,689
48.87716029997682,1286,686
48.87786549999146,1286,684
48.87924209999619,1286,681
48.88014259998454,1286,678
48.88119350001216,1287,675
